tourney_id,tourney_name,surface,draw_size,tourney_level,tourney_date,match_num,winner_id,winner_seed,winner_entry,winner_name,winner_hand,winner_ht,winner_ioc,winner_age,loser_id,loser_seed,loser_entry,loser_name,loser_hand,loser_ht,loser_ioc,loser_age,score,best_of,round,minutes,w_ace,w_df,w_svpt,w_1stIn,w_1stWon,w_2ndWon,w_SvGms,w_bpSaved,w_bpFaced,l_ace,l_df,l_svpt,l_1stIn,l_1stWon,l_2ndWon,l_SvGms,l_bpSaved,l_bpFaced,winner_rank,winner_rank_points,loser_rank,loser_rank_points,tourney_ioc,tourney_year,w_host,l_host
2005-1536,Madrid Masters,Hard,48,M,2005-10-17,1,103812,,,Victor Hanescu,R,198.0,ROU,24.2,102720,,Q,Tomas Zib,R,178.0,CZE,29.7,6-1 6-4,3,R64,59.0,10.0,1.0,50.0,33.0,25.0,14.0,9.0,3.0,3.0,3.0,3.0,44.0,27.0,20.0,6.0,8.0,2.0,5.0,42.0,827.0,63.0,621.0,ESP,2005,0,0
2005-1536,Madrid Masters,Hard,48,M,2005-10-17,2,102845,,,Carlos Moya,R,190.0,ESP,29.1,103835,,,Filippo Volandri,R,183.0,ITA,24.1,6-1 6-2,3,R64,65.0,3.0,2.0,49.0,26.0,22.0,15.0,8.0,6.0,6.0,1.0,6.0,52.0,24.0,16.0,9.0,7.0,5.0,9.0,33.0,1005.0,41.0,836.0,ESP,2005,1,0
2005-1536,Madrid Masters,Hard,48,M,2005-10-17,3,102450,,,Tim Henman,R,185.0,GBR,31.1,103758,,,Taylor Dent,R,188.0,USA,24.4,6-2 6-4,3,R64,78.0,3.0,1.0,58.0,34.0,27.0,14.0,9.0,2.0,2.0,5.0,7.0,59.0,22.0,15.0,20.0,9.0,1.0,4.0,26.0,1120.0,28.0,1115.0,ESP,2005,0,0
2005-1536,Madrid Masters,Hard,48,M,2005-10-17,4,104076,,,Jose Acasuso,R,190.0,ARG,22.9,104022,,,Mikhail Youzhny,R,183.0,RUS,23.3,6-7(5) 6-4 2-0 RET,3,R64,104.0,11.0,2.0,81.0,44.0,34.0,19.0,12.0,1.0,3.0,4.0,9.0,82.0,32.0,22.0,25.0,12.0,4.0,8.0,55.0,678.0,29.0,1090.0,ESP,2005,0,0
2005-1536,Madrid Masters,Hard,48,M,2005-10-17,5,103971,,,Karol Beck,R,180.0,SVK,23.5,103017,,,Nicolas Kiefer,R,183.0,GER,28.2,6-2 2-1 RET,3,R64,61.0,3.0,3.0,37.0,12.0,11.0,14.0,5.0,3.0,3.0,2.0,0.0,37.0,21.0,13.0,6.0,6.0,2.0,5.0,45.0,771.0,30.0,1070.0,ESP,2005,0,0
2005-1536,Madrid Masters,Hard,48,M,2005-10-17,6,103206,,,Sebastien Grosjean,R,175.0,FRA,27.3,103852,,,Feliciano Lopez,L,188.0,ESP,24.0,7-5 4-6 6-2,3,R64,124.0,14.0,2.0,89.0,41.0,30.0,32.0,15.0,0.0,1.0,10.0,7.0,85.0,48.0,35.0,20.0,15.0,4.0,7.0,34.0,1000.0,31.0,1030.0,ESP,2005,0,1
2005-1536,Madrid Masters,Hard,48,M,2005-10-17,7,102860,,Q,Agustin Calleri,R,183.0,ARG,29.0,102610,,WC,Albert Costa,R,180.0,ESP,30.3,6-0 7-5,3,R64,74.0,12.0,1.0,52.0,34.0,29.0,10.0,9.0,3.0,3.0,0.0,2.0,49.0,20.0,13.0,13.0,9.0,1.0,5.0,61.0,632.0,102.0,410.0,ESP,2005,0,1
2005-1536,Madrid Masters,Hard,48,M,2005-10-17,8,103018,,,Max Mirnyi,R,196.0,BLR,28.2,103507,,,Juan Carlos Ferrero,R,183.0,ESP,25.6,7-5 7-6(2),3,R64,108.0,11.0,1.0,91.0,64.0,48.0,11.0,12.0,10.0,11.0,2.0,1.0,75.0,57.0,37.0,11.0,12.0,1.0,3.0,25.0,1125.0,16.0,1425.0,ESP,2005,0,1
2005-1536,Madrid Masters,Hard,48,M,2005-10-17,9,103252,,Q,Alberto Martin,R,175.0,ESP,27.1,102562,,,Jiri Novak,R,190.0,CZE,30.5,3-6 7-6(1) 6-4,3,R64,129.0,12.0,3.0,104.0,64.0,49.0,21.0,15.0,6.0,7.0,7.0,5.0,117.0,77.0,55.0,17.0,16.0,8.0,9.0,54.0,686.0,35.0,950.0,ESP,2005,1,0
2005-1536,Madrid Masters,Hard,48,M,2005-10-17,10,103694,,,Olivier Rochus,R,168.0,BEL,24.7,104607,,,Tomas Berdych,R,196.0,CZE,20.0,1-6 7-6(6) 6-3,3,R64,122.0,4.0,4.0,83.0,52.0,40.0,15.0,13.0,2.0,5.0,19.0,5.0,122.0,69.0,54.0,19.0,15.0,11.0,14.0,24.0,1135.0,50.0,736.0,ESP,2005,0,0
2005-1536,Madrid Masters,Hard,48,M,2005-10-17,11,104269,,WC,Fernando Verdasco,L,188.0,ESP,21.9,103908,,,Paul Henri Mathieu,R,185.0,FRA,23.7,6-4 3-6 6-3,3,R64,108.0,15.0,7.0,78.0,46.0,38.0,15.0,14.0,2.0,4.0,0.0,4.0,83.0,57.0,37.0,12.0,14.0,3.0,6.0,39.0,885.0,57.0,673.0,ESP,2005,1,0
2005-1536,Madrid Masters,Hard,48,M,2005-10-17,12,103294,,Q,Christophe Rochus,R,170.0,BEL,26.8,104792,,,Gael Monfils,R,193.0,FRA,19.1,6-4 6-4,3,R64,58.0,1.0,4.0,53.0,35.0,27.0,11.0,10.0,0.0,1.0,10.0,1.0,55.0,35.0,23.0,10.0,10.0,1.0,4.0,52.0,720.0,37.0,894.0,ESP,2005,0,0
2005-1536,Madrid Masters,Hard,48,M,2005-10-17,13,103781,,,Jurgen Melzer,L,183.0,AUT,24.4,102434,,,Vincent Spadea,R,183.0,USA,31.2,3-6 6-4 6-4,3,R64,100.0,4.0,0.0,87.0,66.0,43.0,14.0,14.0,6.0,9.0,4.0,3.0,97.0,57.0,40.0,18.0,15.0,4.0,8.0,51.0,730.0,62.0,625.0,ESP,2005,0,0
2005-1536,Madrid Masters,Hard,48,M,2005-10-17,14,103428,,Q,Juan Ignacio Chela,R,190.0,ARG,26.1,103454,,WC,Nicolas Massu,R,183.0,CHI,26.0,6-2 6-3,3,R64,128.0,3.0,0.0,42.0,23.0,21.0,15.0,9.0,0.0,0.0,0.0,4.0,47.0,26.0,18.0,10.0,8.0,5.0,8.0,47.0,755.0,49.0,740.0,ESP,2005,0,0
2005-1536,Madrid Masters,Hard,48,M,2005-10-17,15,103163,,,Tommy Haas,R,188.0,GER,27.5,102318,,,Andrei Pavel,R,183.0,ROU,31.7,7-6(4) 6-2,3,R64,79.0,8.0,5.0,68.0,38.0,34.0,15.0,10.0,3.0,3.0,6.0,1.0,65.0,30.0,21.0,18.0,10.0,0.0,2.0,40.0,845.0,48.0,755.0,ESP,2005,0,0
2005-1536,Madrid Masters,Hard,48,M,2005-10-17,16,103333,,Q,Ivo Karlovic,R,208.0,CRO,26.6,102257,,,Greg Rusedski,L,193.0,GBR,32.1,6-7(5) 7-6(2) 7-6(3),3,R64,137.0,24.0,5.0,103.0,70.0,67.0,20.0,18.0,2.0,2.0,9.0,10.0,116.0,60.0,49.0,35.0,18.0,3.0,3.0,86.0,470.0,38.0,893.0,ESP,2005,0,0
2005-1536,Madrid Masters,Hard,48,M,2005-10-17,17,104745,1.0,,Rafael Nadal,L,185.0,ESP,19.3,103812,,,Victor Hanescu,R,198.0,ROU,24.2,7-6(5) 6-3,3,R32,100.0,2.0,1.0,54.0,36.0,29.0,13.0,10.0,0.0,1.0,9.0,1.0,73.0,51.0,30.0,13.0,11.0,3.0,6.0,2.0,4475.0,42.0,827.0,ESP,2005,1,0
2005-1536,Madrid Masters,Hard,48,M,2005-10-17,18,103990,13.0,,Tommy Robredo,R,180.0,ESP,23.4,102845,,,Carlos Moya,R,190.0,ESP,29.1,6-4 3-6 6-1,3,R32,95.0,2.0,1.0,75.0,42.0,32.0,23.0,13.0,4.0,5.0,4.0,4.0,72.0,33.0,28.0,19.0,13.0,4.0,7.0,17.0,1420.0,33.0,1005.0,ESP,2005,1,1
2005-1536,Madrid Masters,Hard,48,M,2005-10-17,19,103285,10.0,,Radek Stepanek,R,185.0,CZE,26.8,102450,,,Tim Henman,R,185.0,GBR,31.1,6-4 1-6 6-3,3,R32,110.0,5.0,2.0,77.0,55.0,37.0,11.0,13.0,3.0,6.0,4.0,3.0,79.0,43.0,29.0,23.0,13.0,5.0,8.0,14.0,1530.0,26.0,1120.0,ESP,2005,0,0
2005-1536,Madrid Masters,Hard,48,M,2005-10-17,20,104076,,,Jose Acasuso,R,190.0,ARG,22.9,103292,7.0,,Gaston Gaudio,R,175.0,ARG,26.8,7-6(4) 6-2,3,R32,96.0,7.0,0.0,63.0,38.0,30.0,15.0,10.0,1.0,2.0,3.0,3.0,66.0,33.0,24.0,16.0,10.0,2.0,5.0,55.0,678.0,11.0,1725.0,ESP,2005,0,0
