tourney_id,tourney_name,draw_size,tourney_level,tourney_date,match_num,winner_id,winner_seed,winner_entry,winner_name,winner_hand,winner_ht,winner_ioc,winner_age,loser_id,loser_seed,loser_entry,loser_name,loser_hand,loser_ht,loser_ioc,loser_age,score,best_of,round,minutes,w_ace,w_df,w_svpt,w_1stIn,w_1stWon,w_2ndWon,w_SvGms,w_bpSaved,w_bpFaced,l_ace,l_df,l_svpt,l_1stIn,l_1stWon,l_2ndWon,l_SvGms,l_bpSaved,l_bpFaced,winner_rank,winner_rank_points,loser_rank,loser_rank_points,tourney_ioc,tourney_year,w_host,l_host,surface_Clay,surface_Grass,surface_Hard,round_code,winner_seed_bucket,loser_seed_bucket
2010-339,Brisbane,32,1,2010-01-03,1,104053,1.0,1,Andy Roddick,1,188.0,USA,27.3,103429,0.0,1,Peter Luczak,1,183.0,AUS,30.3,7-6(5) 6-2,3,R32,84.0,15.0,0.0,63.0,42.0,36.0,14.0,10.0,3.0,3.0,4.0,2.0,56.0,34.0,29.0,11.0,10.0,3.0,5.0,7.0,4410.0,77.0,598.0,AUS,2010,0,1,0,0,1,3.0,32,33
2010-339,Brisbane,32,1,2010-01-03,2,104958,0.0,0,Carsten Ball,0,198.0,AUS,22.5,104999,0.0,1,Mischa Zverev,0,190.0,GER,22.3,7-5 6-1,3,R32,70.0,10.0,3.0,57.0,30.0,23.0,19.0,10.0,0.0,0.0,2.0,2.0,66.0,34.0,22.0,14.0,9.0,7.0,10.0,134.0,400.0,78.0,590.0,AUS,2010,1,0,0,0,1,3.0,33,33
2010-339,Brisbane,32,1,2010-01-03,3,104755,0.0,1,Richard Gasquet,1,185.0,FRA,23.5,103813,0.0,1,Jarkko Nieminen,0,185.0,FIN,28.4,6-3 4-6 6-4,3,R32,121.0,5.0,4.0,97.0,51.0,33.0,27.0,15.0,5.0,8.0,4.0,0.0,85.0,58.0,38.0,14.0,14.0,7.0,11.0,52.0,850.0,88.0,568.0,AUS,2010,0,0,0,0,1,3.0,33,33
2010-339,Brisbane,32,1,2010-01-03,4,105051,0.0,0,Matthew Ebden,1,188.0,AUS,22.1,103781,6.0,1,Jurgen Melzer,0,183.0,AUT,28.6,7-5 6-1,3,R32,64.0,12.0,1.0,50.0,35.0,30.0,12.0,10.0,3.0,3.0,2.0,1.0,53.0,29.0,16.0,15.0,9.0,2.0,5.0,285.0,151.0,28.0,1260.0,AUS,2010,1,0,0,0,1,3.0,33,27
2010-339,Brisbane,32,1,2010-01-03,5,104607,4.0,1,Tomas Berdych,1,196.0,CZE,24.2,105194,0.0,0,Nick Lindahl,1,183.0,AUS,21.4,6-2 6-4,3,R32,69.0,3.0,1.0,46.0,27.0,24.0,14.0,9.0,1.0,1.0,6.0,1.0,69.0,41.0,26.0,14.0,9.0,6.0,9.0,20.0,1655.0,251.0,179.0,AUS,2010,0,1,0,0,1,3.0,29,33
2010-339,Brisbane,32,1,2010-01-03,6,104571,0.0,1,Marcos Baghdatis,1,183.0,CYP,24.5,103888,0.0,1,Mardy Fish,1,188.0,USA,28.0,7-5 7-5,3,R32,101.0,7.0,5.0,62.0,32.0,27.0,17.0,12.0,0.0,1.0,7.0,3.0,77.0,36.0,28.0,20.0,12.0,3.0,6.0,42.0,945.0,55.0,790.0,AUS,2010,0,0,0,0,1,3.0,33,33
2010-339,Brisbane,32,1,2010-01-03,7,103248,0.0,1,Harel Levy,1,185.0,ISR,31.4,103566,0.0,1,Michael Llodra,0,190.0,FRA,29.6,6-2 6-0,3,R32,41.0,8.0,0.0,35.0,23.0,18.0,10.0,7.0,0.0,0.0,0.0,0.0,46.0,36.0,17.0,3.0,7.0,5.0,10.0,119.0,461.0,67.0,649.0,AUS,2010,0,0,0,0,1,3.0,33,33
2010-339,Brisbane,32,1,2010-01-03,8,105064,8.0,1,Thomaz Bellucci,0,188.0,BRA,22.0,103428,0.0,1,Juan Ignacio Chela,1,190.0,ARG,30.3,6-3 3-6 6-1,3,R32,105.0,12.0,4.0,87.0,58.0,37.0,14.0,13.0,6.0,10.0,1.0,1.0,71.0,38.0,20.0,17.0,12.0,2.0,8.0,36.0,1021.0,73.0,611.0,AUS,2010,0,0,0,0,1,3.0,25,33
2010-339,Brisbane,32,1,2010-01-03,9,103484,0.0,1,James Blake,1,185.0,USA,30.0,105023,5.0,1,Sam Querrey,1,198.0,USA,22.2,4-6 6-3 6-4,3,R32,88.0,10.0,3.0,86.0,47.0,40.0,24.0,15.0,2.0,3.0,9.0,3.0,85.0,52.0,41.0,16.0,14.0,3.0,5.0,44.0,935.0,25.0,1320.0,AUS,2010,0,0,0,0,1,3.0,33,28
2010-339,Brisbane,32,1,2010-01-03,10,102967,0.0,1,Marc Gicquel,1,188.0,FRA,32.7,104332,0.0,1,Philipp Petzschner,1,185.0,GER,25.7,6-3 6-1,3,R32,50.0,4.0,1.0,38.0,27.0,25.0,8.0,8.0,0.0,0.0,4.0,2.0,46.0,21.0,15.0,10.0,8.0,1.0,5.0,58.0,744.0,80.0,587.0,AUS,2010,0,0,0,0,1,3.0,33,33
2010-339,Brisbane,32,1,2010-01-03,11,103722,0.0,1,Florent Serra,1,180.0,FRA,28.8,104714,0.0,0,Julian Reister,1,188.0,GER,23.7,6-7(3) 7-6(5) 7-5,3,R32,160.0,9.0,1.0,107.0,67.0,46.0,28.0,18.0,2.0,5.0,7.0,1.0,143.0,105.0,69.0,19.0,18.0,5.0,9.0,65.0,665.0,173.0,284.0,AUS,2010,0,0,0,0,1,3.0,33,33
2010-339,Brisbane,32,1,2010-01-03,12,104792,3.0,1,Gael Monfils,1,193.0,FRA,23.3,103758,0.0,1,Taylor Dent,1,188.0,USA,28.6,7-6(1) 6-7(5) 6-2,3,R32,133.0,9.0,4.0,104.0,60.0,48.0,28.0,16.0,5.0,5.0,6.0,4.0,105.0,67.0,52.0,17.0,16.0,8.0,10.0,13.0,2610.0,76.0,602.0,AUS,2010,0,0,0,0,1,3.0,30,33
2010-339,Brisbane,32,1,2010-01-03,13,104268,0.0,1,Alejandro Falla,0,185.0,COL,26.1,104871,7.0,1,Jeremy Chardy,1,188.0,FRA,22.8,6-4 6-4,3,R32,73.0,2.0,2.0,59.0,25.0,19.0,24.0,10.0,3.0,3.0,6.0,2.0,56.0,32.0,25.0,11.0,10.0,3.0,5.0,81.0,587.0,32.0,1102.0,AUS,2010,0,0,0,0,1,3.0,33,26
